host,dnt,user-agent,accept,accept-encoding,accept-language,ad,canvas,cookies,font-flash,language-flash,platform-flash,languages-js,platform,plugins,screen_width,screen_height,screen_depth,storage_local,storage_session,timezone,userAgent-js,webGLVendor,webGLRenderer
0,1,151,46,44,86,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,152,47,45,87,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,0,15,3,0,13,1,15,0,0,0,0,6,5,1,7,9,1,0,0,0,15,7,14
2,1,153,1,0,12,0,14,0,0,0,0,3,2,1,34,48,0,0,0,24,26,2,2
2,1,153,1,0,12,0,14,0,0,0,0,3,1,1,2,49,0,0,0,1,68,2,2
2,1,127,1,0,12,0,34,0,1,1,1,3,1,7,34,1,0,0,0,1,103,1,87
0,0,51,0,0,3,0,50,0,0,0,0,3,0,14,5,6,0,0,0,0,53,0,6
1,0,17,1,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,17,1,0,12,1,113,0,0,0,0,3,2,1,29,3,0,0,0,19,18,3,88
0,0,154,0,0,3,0,114,0,0,0,0,3,0,14,3,3,0,0,0,0,112,0,89
0,0,155,0,0,3,1,115,0,0,0,0,6,8,1,19,22,0,0,0,3,113,12,36
0,1,17,1,0,12,0,11,0,0,0,0,3,2,1,3,3,0,0,0,8,18,3,90
0,1,156,0,0,3,1,45,0,0,0,0,3,8,1,19,29,0,0,0,3,114,12,49
